"Year","Type","Production"
"2000","Bioenergy","29"
"2001","Bioenergy","33"
"2002","Bioenergy","38"
"2003","Bioenergy","43"
"2004","Bioenergy","53"
"2005","Bioenergy","61"
"2006","Bioenergy","70"
"2007","Bioenergy","78"
"2008","Bioenergy","88"
"2009","Bioenergy","97"
"2010","Bioenergy","111"
"2011","Bioenergy","119"
"2012","Bioenergy","133"
"2013","Bioenergy","139"
"2014","Bioenergy","144"
"2015","Bioenergy","149"
"2016","Bioenergy","151"
"2017","Bioenergy","154"
"2018","Bioenergy","155"
"2019","Bioenergy","157"
"2020","Bioenergy","155"
"2000","Coal","795"
"2001","Coal","792"
"2002","Coal","807"
"2003","Coal","849"
"2004","Coal","835"
"2005","Coal","809"
"2006","Coal","816"
"2007","Coal","829"
"2008","Coal","757"
"2009","Coal","704"
"2010","Coal","701"
"2011","Coal","725"
"2012","Coal","744"
"2013","Coal","729"
"2014","Coal","693"
"2015","Coal","705"
"2016","Coal","659"
"2017","Coal","639"
"2018","Coal","596"
"2019","Coal","455"
"2020","Coal","365"
"2000","Fossil","1358"
"2001","Fossil","1378"
"2002","Fossil","1428"
"2003","Fossil","1500"
"2004","Fossil","1504"
"2005","Fossil","1528"
"2006","Fossil","1558"
"2007","Fossil","1586"
"2008","Fossil","1542"
"2009","Fossil","1420"
"2010","Fossil","1446"
"2011","Fossil","1431"
"2012","Fossil","1369"
"2013","Fossil","1276"
"2014","Fossil","1180"
"2015","Fossil","1234"
"2016","Fossil","1259"
"2017","Fossil","1295"
"2018","Fossil","1213"
"2019","Fossil","1139"
"2020","Fossil","1020"
"2000","Gas","328"
"2001","Gas","351"
"2002","Gas","375"
"2003","Gas","419"
"2004","Gas","460"
"2005","Gas","514"
"2006","Gas","542"
"2007","Gas","573"
"2008","Gas","613"
"2009","Gas","565"
"2010","Gas","588"
"2011","Gas","557"
"2012","Gas","483"
"2013","Gas","414"
"2014","Gas","356"
"2015","Gas","397"
"2016","Gas","467"
"2017","Gas","526"
"2018","Gas","491"
"2019","Gas","566"
"2020","Gas","545"
"2000","Hydro","355"
"2001","Hydro","376"
"2002","Hydro","315"
"2003","Hydro","306"
"2004","Hydro","324"
"2005","Hydro","308"
"2006","Hydro","311"
"2007","Hydro","309"
"2008","Hydro","327"
"2009","Hydro","330"
"2010","Hydro","373"
"2011","Hydro","307"
"2012","Hydro","332"
"2013","Hydro","368"
"2014","Hydro","370"
"2015","Hydro","336"
"2016","Hydro","346"
"2017","Hydro","294"
"2018","Hydro","344"
"2019","Hydro","324"
"2020","Hydro","352"
"2000","Lignite","340"
"2001","Lignite","350"
"2002","Lignite","347"
"2003","Lignite","356"
"2004","Lignite","351"
"2005","Lignite","344"
"2006","Lignite","338"
"2007","Lignite","345"
"2008","Lignite","337"
"2009","Lignite","321"
"2010","Lignite","316"
"2011","Lignite","335"
"2012","Lignite","340"
"2013","Lignite","326"
"2014","Lignite","318"
"2015","Lignite","316"
"2016","Lignite","302"
"2017","Lignite","304"
"2018","Lignite","294"
"2019","Lignite","244"
"2020","Lignite","200"
"2000","Nuclear","860"
"2001","Nuclear","889"
"2002","Nuclear","902"
"2003","Nuclear","907"
"2004","Nuclear","928"
"2005","Nuclear","916"
"2006","Nuclear","915"
"2007","Nuclear","872"
"2008","Nuclear","885"
"2009","Nuclear","825"
"2010","Nuclear","855"
"2011","Nuclear","838"
"2012","Nuclear","812"
"2013","Nuclear","806"
"2014","Nuclear","813"
"2015","Nuclear","787"
"2016","Nuclear","768"
"2017","Nuclear","759"
"2018","Nuclear","762"
"2019","Nuclear","765"
"2020","Nuclear","685"
"2000","Renewables","411"
"2001","Renewables","439"
"2002","Renewables","393"
"2003","Renewables","398"
"2004","Renewables","441"
"2005","Renewables","445"
"2006","Renewables","469"
"2007","Renewables","498"
"2008","Renewables","542"
"2009","Renewables","572"
"2010","Renewables","654"
"2011","Renewables","646"
"2012","Renewables","728"
"2013","Renewables","807"
"2014","Renewables","838"
"2015","Renewables","857"
"2016","Renewables","872"
"2017","Renewables","876"
"2018","Renewables","943"
"2019","Renewables","977"
"2020","Renewables","1054"
"2000","Wind and Solar","22"
"2001","Wind and Solar","26"
"2002","Wind and Solar","35"
"2003","Wind and Solar","44"
"2004","Wind and Solar","58"
"2005","Wind and Solar","70"
"2006","Wind and Solar","81"
"2007","Wind and Solar","104"
"2008","Wind and Solar","121"
"2009","Wind and Solar","139"
"2010","Wind and Solar","163"
"2011","Wind and Solar","213"
"2012","Wind and Solar","258"
"2013","Wind and Solar","294"
"2014","Wind and Solar","317"
"2015","Wind and Solar","364"
"2016","Wind and Solar","368"
"2017","Wind and Solar","420"
"2018","Wind and Solar","436"
"2019","Wind and Solar","489"
"2020","Wind and Solar","540"
