"Year","Area","CarbonIntensity","id"
"2000","Austria","158","AT"
"2000","Belgium","270","BE"
"2000","Bulgaria","476","BG"
"2000","Croatia","292","HR"
"2000","Cyprus","849","CY"
"2000","Czech Republic","688","CZ"
"2000","Denmark","479","DK"
"2000","Estonia","1116","EE"
"2000","Finland","164","FI"
"2000","France","92","FR"
"2000","Germany","559","DE"
"2000","Greece","975","EL"
"2000","Hungary","460","HU"
"2000","Ireland","674","IR"
"2000","Italy","396","IT"
"2000","Latvia","137","LV"
"2000","Lithuania","112","LT"
"2000","Luxembourg","96","LU"
"2000","Malta","839","MT"
"2000","Netherlands","511","NL"
"2000","Poland","950","PL"
"2000","Portugal","484","PT"
"2000","Romania","461","RO"
"2000","Slovakia","233","SK"
"2000","Slovenia","355","SI"
"2000","Spain","467","ES"
"2000","Sweden","18","SE"
"2000","United Kingdom","484","UK"
"2001","Austria","176","AT"
"2001","Belgium","257","BE"
"2001","Bulgaria","525","BG"
"2001","Croatia","305","HR"
"2001","Cyprus","787","CY"
"2001","Czech Republic","687","CZ"
"2001","Denmark","470","DK"
"2001","Estonia","1087","EE"
"2001","Finland","210","FI"
"2001","France","73","FR"
"2001","Germany","574","DE"
"2001","Greece","984","EL"
"2001","Hungary","453","HU"
"2001","Ireland","694","IR"
"2001","Italy","383","IT"
"2001","Latvia","126","LV"
"2001","Lithuania","98","LT"
"2001","Luxembourg","167","LU"
"2001","Malta","1004","MT"
"2001","Netherlands","522","NL"
"2001","Poland","940","PL"
"2001","Portugal","461","PT"
"2001","Romania","466","RO"
"2001","Slovakia","219","SK"
"2001","Slovenia","381","SI"
"2001","Spain","416","ES"
"2001","Sweden","20","SE"
"2001","United Kingdom","504","UK"
"2002","Austria","168","AT"
"2002","Belgium","263","BE"
"2002","Bulgaria","483","BG"
"2002","Croatia","363","HR"
"2002","Cyprus","767","CY"
"2002","Czech Republic","664","CZ"
"2002","Denmark","463","DK"
"2002","Estonia","1054","EE"
"2002","Finland","231","FI"
"2002","France","78","FR"
"2002","Germany","570","DE"
"2002","Greece","956","EL"
"2002","Hungary","446","HU"
"2002","Ireland","650","IR"
"2002","Italy","406","IT"
"2002","Latvia","126","LV"
"2002","Lithuania","74","LT"
"2002","Luxembourg","275","LU"
"2002","Malta","957","MT"
"2002","Netherlands","518","NL"
"2002","Poland","936","PL"
"2002","Portugal","539","PT"
"2002","Romania","463","RO"
"2002","Slovakia","199","SK"
"2002","Slovenia","395","SI"
"2002","Spain","468","ES"
"2002","Sweden","27","SE"
"2002","United Kingdom","494","UK"
"2003","Austria","213","AT"
"2003","Belgium","266","BE"
"2003","Bulgaria","536","BG"
"2003","Croatia","389","HR"
"2003","Cyprus","774","CY"
"2003","Czech Republic","599","CZ"
"2003","Denmark","490","DK"
"2003","Estonia","1062","EE"
"2003","Finland","289","FI"
"2003","France","84","FR"
"2003","Germany","554","DE"
"2003","Greece","914","EL"
"2003","Hungary","504","HU"
"2003","Ireland","618","IR"
"2003","Italy","443","IT"
"2003","Latvia","124","LV"
"2003","Lithuania","66","LT"
"2003","Luxembourg","255","LU"
"2003","Malta","969","MT"
"2003","Netherlands","522","NL"
"2003","Poland","946","PL"
"2003","Portugal","439","PT"
"2003","Romania","521","RO"
"2003","Slovakia","221","SK"
"2003","Slovenia","390","SI"
"2003","Spain","412","ES"
"2003","Sweden","36","SE"
"2003","United Kingdom","502","UK"
"2004","Austria","197","AT"
"2004","Belgium","271","BE"
"2004","Bulgaria","536","BG"
"2004","Croatia","288","HR"
"2004","Cyprus","782","CY"
"2004","Czech Republic","597","CZ"
"2004","Denmark","424","DK"
"2004","Estonia","1047","EE"
"2004","Finland","241","FI"
"2004","France","83","FR"
"2004","Germany","538","DE"
"2004","Greece","920","EL"
"2004","Hungary","453","HU"
"2004","Ireland","595","IR"
"2004","Italy","455","IT"
"2004","Latvia","96","LV"
"2004","Lithuania","73","LT"
"2004","Luxembourg","275","LU"
"2004","Malta","935","MT"
"2004","Netherlands","507","NL"
"2004","Poland","939","PL"
"2004","Portugal","484","PT"
"2004","Romania","452","RO"
"2004","Slovakia","227","SK"
"2004","Slovenia","362","SI"
"2004","Spain","423","ES"
"2004","Sweden","22","SE"
"2004","United Kingdom","513","UK"
"2005","Austria","189","AT"
"2005","Belgium","275","BE"
"2005","Bulgaria","505","BG"
"2005","Croatia","305","HR"
"2005","Cyprus","800","CY"
"2005","Czech Republic","616","CZ"
"2005","Denmark","388","DK"
"2005","Estonia","1028","EE"
"2005","Finland","148","FI"
"2005","France","104","FR"
"2005","Germany","520","DE"
"2005","Greece","915","EL"
"2005","Hungary","377","HU"
